scenario,scenario_label,city,name_en,climate_zone,province,grid_region,elec_price_eff,carbon_uplift_cny_kwh,d4_lcoe,d4_pbt,d4_npv_positive,D1_score,D2_score,D3_score,D4_score,D5_score,fdsi,rank,suitability
cost_reduction,PV Cost −50% (2030),shenyang,Shenyang,,辽宁,东北,0.53,0.0,0.1049,2.18,True,0.40964750690722534,0.6199452779833592,0.4800052589686735,0.8541934971458633,0.8479853479853479,0.6419524329834749,23,High
cost_reduction,PV Cost −50% (2030),shenzhen,Shenzhen,,广东,南方,0.68,0.0,0.1071,1.73,True,0.6389794945615207,0.3970073336473121,0.6595558912632083,0.8914890019232543,0.8876678876678875,0.7258577671540971,7,High
cost_reduction,PV Cost −50% (2030),shijiazhuang,Shijiazhuang,,河北,华北,0.511,0.0,0.0987,2.13,True,0.5178325354867381,0.9183520599250936,0.5465230907304077,0.8729772523084176,0.8684371184371185,0.7235101889539182,10,High
cost_reduction,PV Cost −50% (2030),suzhou,Suzhou,,江苏,华东,0.558,0.0,0.118,2.33,True,0.44268342985192854,0.2606741573033708,0.13151381139186,0.8103365524214898,0.8012820512820513,0.5105642528743779,36,High
cost_reduction,PV Cost −50% (2030),taiyuan,Taiyuan,,山西,华北,0.452,0.0,0.1025,2.51,True,0.5376362604488854,0.5447428738029559,0.39701203268276436,0.828630526794041,0.8232600732600732,0.6326719607472548,27,High
cost_reduction,PV Cost −50% (2030),tangshan,Tangshan,,河北,华北,0.511,0.0,0.1024,2.21,True,0.4840514649108172,0.40158783556482547,0.4716274579079456,0.857053184984269,0.8525641025641024,0.6340526342107098,25,High
cost_reduction,PV Cost −50% (2030),tianjin,Tianjin,,天津,华北,0.49,0.0,0.1008,2.27,True,0.5308234021603491,0.5627872345197247,0.3960170926634341,0.8550487987346831,0.8513431013431012,0.6450709963130681,22,High
cost_reduction,PV Cost −50% (2030),urumqi,Urumqi,,新疆,西北,0.4,0.0,0.0958,2.65,True,0.4122277365282615,0.46115275067841843,0.2801817085353669,0.8306929864415697,0.8275335775335775,0.5704945684895238,33,High
cost_reduction,PV Cost −50% (2030),wuhan,Wuhan,,湖北,华中,0.558,0.0,0.1096,2.16,True,0.448751886671659,0.5534122765704547,0.6664179316618342,0.8453962313780816,0.839133089133089,0.681250604548505,15,High
cost_reduction,PV Cost −50% (2030),wuxi,Wuxi,,江苏,华东,0.558,0.0,0.1073,2.12,True,0.5492704322399466,0.6399031151180784,0.37287407714236986,0.8543805276480616,0.8492063492063491,0.6519124080954523,20,High
cost_reduction,PV Cost −50% (2030),xiamen,Xiamen,,福建,华东,0.618,0.0,0.1004,1.78,True,0.685929212467359,0.5386310525017382,0.7258965627868066,0.9020101081873243,0.897130647130647,0.7714887265481272,2,High
cost_reduction,PV Cost −50% (2030),xian,Xian,,陕西,西北,0.498,0.0,0.1028,2.28,True,0.4793679302976859,0.21660678642714568,0.71359940872136,0.8495655597421541,0.8452380952380951,0.663325855100726,18,High
cost_reduction,PV Cost −50% (2030),xining,Xining,,青海,西北,0.388,0.0,0.0902,2.57,True,0.6815910465882917,0.6475511897553208,0.5768317048804853,0.8509332736657638,0.8476800976800976,0.727415115512129,6,High
cost_reduction,PV Cost −50% (2030),yinchuan,Yinchuan,,宁夏,西北,0.44,0.0,0.0901,2.26,True,0.611738253985925,0.7982210859180516,0.6235700275334422,0.8802957814800518,0.876984126984127,0.7520123613216221,3,High
cost_reduction,PV Cost −50% (2030),zhengzhou,Zhengzhou,,河南,华中,0.56,0.0,0.1038,2.04,True,0.44995189490929205,0.5276996568660433,0.41853877829487574,0.8698502560353633,0.8669108669108669,0.6347605580247168,24,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,beijing,Beijing,,北京,华北,0.5767,0.0884,0.2049,3.98,True,0.5159765012563882,0.6936024580053376,0.7147420668762132,0.45785109639159227,0.4706959706959707,0.5592896563636836,12,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,changchun,Changchun,,吉林,东北,0.6044,0.0844,0.207,3.84,True,0.38172223686358686,0.4317235192536276,0.6833126223370126,0.46623843229154216,0.4810744810744811,0.4969680335604125,16,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,changsha,Changsha,,湖南,华中,0.6406,0.0526,0.2394,4.2,True,0.4481456520967013,0.6729740518962076,0.612976454439869,0.35880093805618085,0.3714896214896215,0.4754051506043787,24,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,chengdu,Chengdu,,四川,华中,0.5546,0.0526,0.2543,5.2,True,0.24578838326602448,0.37507636412568124,0.20843485782510168,0.2309677248550726,0.24023199023199027,0.2484535243661325,37,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,chongqing,Chongqing,,重庆,华中,0.5746,0.0526,0.2935,5.83,True,0.0,0.4404480925788872,0.027243589743589595,0.08270676691729321,0.08608058608058611,0.09298378752605198,39,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,dalian,Dalian,,辽宁,东北,0.5844,0.0844,0.1995,3.82,True,0.5029614589206254,0.585311175402005,0.40409438122852753,0.4851558416714207,0.5,0.4870452344165528,19,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,fuzhou,Fuzhou,,福建,华东,0.6884,0.0703,0.2353,3.83,True,0.38179071218814503,0.45505348852856087,0.12358779431950165,0.4028893223517676,0.4148351648351649,0.3451770482408301,35,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,guangzhou,Guangzhou,,广东,南方,0.7227,0.0427,0.2223,3.43,True,0.5969910776883411,0.7049124223463186,0.6394982050469855,0.47001533820922137,0.4832112332112332,0.5673042352156591,6,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,guiyang,Guiyang,,贵州,南方,0.5107,0.0427,0.2727,6.11,True,0.13059873265806635,0.9252842629348046,0.23833128253859964,0.10364222687568528,0.10775335775335786,0.23364061349546486,38,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,haikou,Haikou,,海南,南方,0.6407,0.0427,0.1948,3.39,True,0.7059027938409963,0.7837071923568593,0.3366856720515256,0.536246340521909,0.5509768009768009,0.5621465836534711,10,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,hangzhou,Hangzhou,,浙江,华东,0.6084,0.0703,0.2566,4.76,True,0.3929512200800065,0.5720899773486734,0.34594216758850893,0.2670962105399801,0.27594627594627597,0.35023846834751915,34,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,harbin,Harbin,,黑龙江,东北,0.5944,0.0844,0.2209,4.18,True,0.31686128572140626,0.7723918455224383,0.6627412221924418,0.4027069889626383,0.416056166056166,0.48773414240788304,18,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,hefei,Hefei,,安徽,华东,0.6314,0.0703,0.2243,3.98,True,0.4430489822792396,0.6632187310771716,0.3289926536877757,0.41378021951744415,0.42582417582417587,0.4332739148037078,29,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,hohhot,Hohhot,,内蒙古,华北,0.5844,0.0884,0.1885,3.6,True,0.5232770662207202,0.7678037184058848,0.5399635933172517,0.5308211749273228,0.5457875457875457,0.562696030069621,8,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,jinan,Jinan,,山东,华北,0.6354,0.0884,0.2042,3.59,True,0.5113506599209605,0.5290031173607841,0.7186675113504382,0.49609541800890233,0.5094627594627594,0.5575680162279684,13,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,kunming,Kunming,,云南,南方,0.4927,0.0427,0.198,4.53,True,0.6219377942304932,0.6387849021059006,0.7172243406999503,0.42183406038950166,0.43650793650793657,0.5622909741914481,9,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,lanzhou,Lanzhou,,甘肃,西北,0.5427,0.0667,0.1818,3.75,True,0.6607172501109544,0.5627464172778041,0.546088565905639,0.5319437849507913,0.5460927960927962,0.5721180165340726,4,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,lhasa,Lhasa,,西藏,西藏,0.38,0.012,0.1468,4.35,True,1.0,0.45892036152414273,0.6362179487179487,0.5550621214553877,0.5705128205128205,0.66745336185613,1,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,nanchang,Nanchang,,江西,华中,0.6526,0.0526,0.2214,3.8,True,0.482812163760563,0.5495382269169526,0.35832561747195896,0.43728542733480674,0.4505494505494505,0.44671764528184305,28,Medium
carbon_pricing,Carbon Price 100 CNY/tCO₂,nanjing,Nanjing,,江苏,华东,0.6284,0.0703,0.2246,4.01,True,0.5269679212840439,0.5258431451703335,0.6535212754724951,0.4102791622399935,0.42399267399267404,0.5085796326660511,14,High
carbon_pricing,Carbon Price 100 CNY/tCO₂,nanning,Nanning,,广西,南方,0.6607,0.0427,0.2356,4.0,True,0.49256847607072063,0.6703918006683263,0.31045428149086685,0.38623037033747476,0.3983516483516484,0.428985880732022,30,Low
carbon_pricing,Carbon Price 100 CNY/tCO₂,ningbo,Ningbo,,浙江,华东,0.6084,0.0703,0.2303,4.26,True,0.40480416669029506,0.5730094866446882,0.2926042453481478,0.37383426193835334,0.38736263736263743,0.38934338646478794,33,Low
